时间: 2024/12/1 01:32:57, test电机: 1500, yaw电机: 0
时间: 3/26/2025, 8:53:45 PM, test电机: 8500, yaw电机: 6000
时间: 4/4/2025, 12:00:23 AM, test电机: 8000, yaw电机: 5000
时间: 4/4/2025, 12:05:23 AM, test电机: 7000, yaw电机: 6000
时间: 4/4/2025, 7:04:56 PM, test电机: 7000, yaw电机: 5000
时间: 4/4/2025, 7:05:08 PM, test电机: 7000, yaw电机: 8000
时间: 4/4/2025, 7:05:26 PM, test电机: 7000, yaw电机: 7600
时间: 4/4/2025, 9:13:29 PM, test电机: 6000, yaw电机: 7600
时间: 4/5/2025, 5:20:14 PM, test电机: 8000, yaw电机: 6700
时间: 5/3/2025, 6:19:20 PM, test电机: 8000, yaw电机: 4000
时间: 5/3/2025, 6:19:40 PM, test电机: 8000, yaw电机: 5000
时间: 5/3/2025, 6:19:50 PM, test电机: 8000, yaw电机: 5500
时间: 5/3/2025, 6:19:58 PM, test电机: 8000, yaw电机: 5800
时间: 5/3/2025, 6:20:06 PM, test电机: 8000, yaw电机: 6000
时间: 5/3/2025, 7:20:38 PM, test电机: 8000, yaw电机: 5000
时间: 5/3/2025, 7:23:56 PM, test电机: 8000, yaw电机: 6700
时间: 5/3/2025, 7:26:40 PM, test电机: 8000, yaw电机: 7000
时间: 5/3/2025, 7:26:54 PM, test电机: 8000, yaw电机: 7100
时间: 5/3/2025, 8:10:43 PM, test电机: 7500, yaw电机: 7100
时间: 5/3/2025, 8:11:05 PM, test电机: 7000, yaw电机: 7100
时间: 5/3/2025, 8:13:14 PM, test电机: 6000, yaw电机: 7100
时间: 5/3/2025, 8:13:30 PM, test电机: 5500, yaw电机: 7100
时间: 5/3/2025, 8:13:41 PM, test电机: 5000, yaw电机: 7100
时间: 5/3/2025, 8:26:39 PM, test电机: 5000, yaw电机: 5000
时间: 5/3/2025, 8:26:57 PM, test电机: 5000, yaw电机: 3000
时间: 5/3/2025, 8:27:19 PM, test电机: 5000, yaw电机: 1000
时间: 5/3/2025, 8:27:36 PM, test电机: 5000, yaw电机: 0
时间: 5/3/2025, 8:28:15 PM, test电机: 5000, yaw电机: 3000
时间: 5/3/2025, 8:28:55 PM, test电机: 5000, yaw电机: 3000
时间: 5/3/2025, 8:29:05 PM, test电机: 5000, yaw电机: 7100
时间: 5/3/2025, 8:40:14 PM, test电机: 5000, yaw电机: 7000
时间: 5/3/2025, 8:40:33 PM, test电机: 5000, yaw电机: 7100
时间: 5/3/2025, 8:41:49 PM, test电机: 4500, yaw电机: 7100
时间: 5/3/2025, 8:41:55 PM, test电机: 4000, yaw电机: 7100
时间: 5/3/2025, 8:42:03 PM, test电机: 3500, yaw电机: 7100
时间: 5/3/2025, 8:43:32 PM, test电机: 3000, yaw电机: 7100
时间: 5/3/2025, 8:43:39 PM, test电机: 2500, yaw电机: 7100
时间: 5/3/2025, 8:43:48 PM, test电机: 2000, yaw电机: 7100
时间: 5/3/2025, 8:43:57 PM, test电机: 1800, yaw电机: 7100
时间: 5/3/2025, 8:45:10 PM, test电机: 1800, yaw电机: 6000
时间: 5/3/2025, 8:45:25 PM, test电机: 1800, yaw电机: 5000
